nama_instansi,nama_satuan_kerja,kode_paket,kode_rup,tahun_anggaran,sumber_transaksi,sumber_dana,nama_penyedia,metode_pengadaan,jenis_pengadaan,nama_paket,status_paket,total_nilai,nilai_pdn
PERPUSTAKAAN NASIONAL REPUBLIK INDONESIA,PERPUSTAKAAN NASIONAL RI JAKARTA - 531535,01KKK2A977TBZZ6K96VG6YV2WK,63030558,2026,E-Katalog 6.0,APBN,WIRA ARTA TELEMATIKA,E-Purchasing,Jasa Lainnya,Annual Technical Support / ATS Perangkat Security Network (Firewall) Data Center Perpustakaan Nasional Republik Indonesia,PAYMENT OUTSIDE SYSTEM,1898100000,0
PERPUSTAKAAN NASIONAL REPUBLIK INDONESIA,PERPUSTAKAAN NASIONAL RI JAKARTA - 531535,01KDQ837TDE2CPN9SPVQ4XJ0PH,62508445,2026,E-Katalog 6.0,APBN,ECOCARE INDO PASIFIK,E-Purchasing,Jasa Lainnya,Hygiene Service Salemba,ON PROCESS,170537918,170537918
PERPUSTAKAAN NASIONAL REPUBLIK INDONESIA,PERPUSTAKAAN NASIONAL RI JAKARTA - 531535,01KGE5A6NWAQA9P0AHKGYK9HWN,64851806,2026,E-Katalog 6.0,APBN,MITRA INFOTECH PRIMA,E-Purchasing,Jasa Lainnya,Langganan Lisensi Perangkat Lunak Pendukung Rapat Daring,PAYMENT OUTSIDE SYSTEM,481140600,0
PERPUSTAKAAN NASIONAL REPUBLIK INDONESIA,PERPUSTAKAAN NASIONAL RI JAKARTA - 531535,01KVESJQQGN2HVN0XJMWYKESDW,67089423,2026,E-Katalog 6.0,APBN,DELTA KLIK INDONESIA,E-Purchasing,Barang,Belanja Modal Peralatan dan Mesin Pelaksanaan Alih Media Koleksi Bahan Pustaka,ON PROCESS,681318000,0
PERPUSTAKAAN NASIONAL REPUBLIK INDONESIA,PERPUSTAKAAN NASIONAL RI JAKARTA - 531535,01KDYT28DD535FB8GXTR1ETGNM,62508947,2026,E-Katalog 6.0,APBN,ECOCARE INDO PASIFIK,E-Purchasing,Jasa Lainnya,Hygiene Service Merdeka Selatan,ON PROCESS,264397538,264397538
PERPUSTAKAAN NASIONAL REPUBLIK INDONESIA,PERPUSTAKAAN BUNG KARNO BLITAR - 465292,01KRD5P7V7B33E0MMZYZACAJS6,62675692,2026,E-Katalog 6.0,APBN,DUTA CLEN GROUP,E-Purchasing,Jasa Lainnya,TENAGA KONTRAK,ON PROCESS,774237919,774237919
PERPUSTAKAAN NASIONAL REPUBLIK INDONESIA,PERPUSTAKAAN PROKLAMATOR BUNG HATTA - 690218,01KDSRXE0T1CY8Z9VCGBRWC61A,61933978,2026,E-Katalog 6.0,APBN,RANIA INTERIOR EXTERIOR INDONESIA,E-Purchasing,Jasa Lainnya,Management Building,ON PROCESS,1494985037,1494985037
PERPUSTAKAAN NASIONAL REPUBLIK INDONESIA,PERPUSTAKAAN NASIONAL RI JAKARTA - 531535,01KNKAXJHTSTRW723MMREBKQW2,63030561,2026,E-Katalog 6.0,APBN,KAMA JAYA NUSANTARA,E-Purchasing,Jasa Lainnya,Annual Technical Support / ATS Perangkat Pendukung Data Center,PAYMENT OUTSIDE SYSTEM,1498500000,1498500000
PERPUSTAKAAN NASIONAL REPUBLIK INDONESIA,PERPUSTAKAAN NASIONAL RI JAKARTA - 531535,01KE6DESQGME4HZJXYHTVKN4E0,62508296,2026,E-Katalog 6.0,APBN,MITRA BUANA PERSADA,E-Purchasing,Jasa Lainnya,Chiller dan Cooling Tower Merdeka Selatan,ON PROCESS,254412000,254412000
PERPUSTAKAAN NASIONAL REPUBLIK INDONESIA,PERPUSTAKAAN NASIONAL RI JAKARTA - 531535,01KS4PYXA7RYBBXAAXQRXKFG38,62510947,2026,E-Katalog 6.0,APBN,ADIPATI ATMAJAYA MANDIRI,E-Purchasing,Jasa Lainnya,Building Operational Maintenance Management Perpusnas,COMPLETED,894647846,894647846
PERPUSTAKAAN NASIONAL REPUBLIK INDONESIA,PERPUSTAKAAN BUNG KARNO BLITAR - 465292,01KETKBNJ21Y1TJS3AVYQ8EMPK,62675692,2026,E-Katalog 6.0,APBN,DUTA CLEN GROUP,E-Purchasing,Jasa Lainnya,TENAGA KONTRAK,ON PROCESS,680887860,680887860
PERPUSTAKAAN NASIONAL REPUBLIK INDONESIA,PERPUSTAKAAN NASIONAL RI JAKARTA - 531535,01KDQ618X19K0R23R0GXZ59ZB6,62506417,2026,E-Katalog 6.0,APBN,THREESONS MAKMUR ABADI,E-Purchasing,Jasa Lainnya,Lift dan Dumbwaiter Salemba,ON PROCESS,208458000,0
