nama_instansi,nama_satuan_kerja,kode_paket,kode_rup,tahun_anggaran,sumber_transaksi,sumber_dana,nama_penyedia,metode_pengadaan,jenis_pengadaan,nama_paket,status_paket,total_nilai,nilai_pdn
BADAN PENGUSAHAAN KAWASAN PERDAGANGAN BEBAS DAN PELABUHAN BEBAS BATAM,BADAN PENGUSAHAAN KAWASAN PERDAGANGAN BEBAS DAN PELABUHAN BEBAS BATAM - 568717,10795027000,63962188,2026,Non Tender,APBN,CV. Sinar Fajar Sukses,Pengadaan Langsung,Jasa Lainnya,Pemeliharaan Gedung Terminal Penumpang Domestik Telaga Punggur (Pekerjaan Penataan AreA Parkir Sepeda Motor di Bawah Flyover Area Jalan Masuk),SELESAI,188977700,188977700
BADAN PENGUSAHAAN KAWASAN PERDAGANGAN BEBAS DAN PELABUHAN BEBAS BATAM,BADAN PENGUSAHAAN KAWASAN PERDAGANGAN BEBAS DAN PELABUHAN BEBAS BATAM - 568717,01KKDX0M42ZPEZD8T25YNWW2KD,63530809,2026,E-Katalog 6.0,APBN,AMAROX PHARMA GLOBAL,E-Purchasing,Barang,Pengadaan Obat e-Catalog,ON PROCESS,6000660,6000660
BADAN PENGUSAHAAN KAWASAN PERDAGANGAN BEBAS DAN PELABUHAN BEBAS BATAM,BADAN PENGUSAHAAN KAWASAN PERDAGANGAN BEBAS DAN PELABUHAN BEBAS BATAM - 568717,10117342000,65663886,2026,Tender,APBN,PT.KOMLA CONSULTING ENGINEERS,Seleksi,Jasa Konsultansi Badan Usaha Konstruksi,Studi Kelayakan dan Masterplan Wilayah Penataan dan Pengembangan Episentrum Teluk Tering,SELESAI,2419667050,2419667050
BADAN PENGUSAHAAN KAWASAN PERDAGANGAN BEBAS DAN PELABUHAN BEBAS BATAM,BADAN PENGUSAHAAN KAWASAN PERDAGANGAN BEBAS DAN PELABUHAN BEBAS BATAM - 568717,01KSEAJDZQKT9FT0VMTBJK9NP0,63530809,2026,E-Katalog 6.0,APBN,LAPI LABORATORIES,E-Purchasing,Barang,Pengadaan Obat e-Catalog,ON PROCESS,806693,806693
BADAN PENGUSAHAAN KAWASAN PERDAGANGAN BEBAS DAN PELABUHAN BEBAS BATAM,BADAN PENGUSAHAAN KAWASAN PERDAGANGAN BEBAS DAN PELABUHAN BEBAS BATAM - 568717,01KT3BCZCG0PBDJWQVTK4KFKTW,63531100,2026,E-Katalog 6.0,APBN,REVASS UTAMA MEDIKA,E-Purchasing,Barang,Pengadaan BMHP e-Catalog,ON PROCESS,4884000,0
BADAN PENGUSAHAAN KAWASAN PERDAGANGAN BEBAS DAN PELABUHAN BEBAS BATAM,BADAN PENGUSAHAAN KAWASAN PERDAGANGAN BEBAS DAN PELABUHAN BEBAS BATAM - 568717,10904629000,63963417,2026,Non Tender,APBN,PT. KOMBET ALKISAH JAYA,Pengadaan Langsung,Jasa Lainnya,Penggantian Lampu Penerangan Terminal Penumpang Domestik Sekupang,SELESAI,102570000,102570000
BADAN PENGUSAHAAN KAWASAN PERDAGANGAN BEBAS DAN PELABUHAN BEBAS BATAM,BADAN PENGUSAHAAN KAWASAN PERDAGANGAN BEBAS DAN PELABUHAN BEBAS BATAM - 568717,01KP83RV53WVM5ECAAR8W5TJAT,62661374,2026,E-Katalog 6.0,APBN,GOLDEN BIRD METRO,E-Purchasing,Jasa Lainnya,Sewa Kendaraan Dinas Operasional Kantor Penghubung,ON PROCESS,213830400,213830400
BADAN PENGUSAHAAN KAWASAN PERDAGANGAN BEBAS DAN PELABUHAN BEBAS BATAM,BADAN PENGUSAHAAN KAWASAN PERDAGANGAN BEBAS DAN PELABUHAN BEBAS BATAM - 568717,01KW157K6AAF9QWQB92VQBE5BM,65334110,2026,E-Katalog 6.0,APBN,SINERGI BATAM JAYA,E-Purchasing,Barang,Seminar Kit Sosialisasi,ON PROCESS,15480000,15480000
BADAN PENGUSAHAAN KAWASAN PERDAGANGAN BEBAS DAN PELABUHAN BEBAS BATAM,BADAN PENGUSAHAAN KAWASAN PERDAGANGAN BEBAS DAN PELABUHAN BEBAS BATAM - 568717,01KDTDR1BHXKZP26RV424B9JA2,62672407,2026,E-Katalog 6.0,APBN,AUTO SERIBU PERKASA,E-Purchasing,Barang,Sewa Kendaraan Operasional Roda 4/Minibus Operasional Kantor dan/atau Lapangan Hulu,ON PROCESS,219000000,219000000
BADAN PENGUSAHAAN KAWASAN PERDAGANGAN BEBAS DAN PELABUHAN BEBAS BATAM,BADAN PENGUSAHAAN KAWASAN PERDAGANGAN BEBAS DAN PELABUHAN BEBAS BATAM - 568717,01KVYMQ2S7YGVTGV1D8B207ZVB,63530809,2026,E-Katalog 6.0,APBN,PRATAPA NIRMALA,E-Purchasing,Barang,Pengadaan Obat e-Catalog,ON PROCESS,2595402,2595402
BADAN PENGUSAHAAN KAWASAN PERDAGANGAN BEBAS DAN PELABUHAN BEBAS BATAM,BADAN PENGUSAHAAN KAWASAN PERDAGANGAN BEBAS DAN PELABUHAN BEBAS BATAM - 568717,01KHX2BK0TF2QBTCVRTP162BKX,63530809,2026,E-Katalog 6.0,APBN,KALBE FARMA,E-Purchasing,Barang,Pengadaan Obat e-Catalog,ON PROCESS,24245730,24245730
BADAN PENGUSAHAAN KAWASAN PERDAGANGAN BEBAS DAN PELABUHAN BEBAS BATAM,BADAN PENGUSAHAAN KAWASAN PERDAGANGAN BEBAS DAN PELABUHAN BEBAS BATAM - 568717,01KJ96RZX4Z0X4ZMBECHN4KA7Q,63530809,2026,E-Katalog 6.0,APBN,HEXPHARM JAYA LABORATORIES,E-Purchasing,Barang,Pengadaan Obat e-Catalog,ON PROCESS,4453320,4453320
BADAN PENGUSAHAAN KAWASAN PERDAGANGAN BEBAS DAN PELABUHAN BEBAS BATAM,BADAN PENGUSAHAAN KAWASAN PERDAGANGAN BEBAS DAN PELABUHAN BEBAS BATAM - 568717,01KJ4EQQDPTMD1PE16KGTPCA25,63531100,2026,E-Katalog 6.0,APBN,AMANAH JAYA BERSAMA,E-Purchasing,Barang,Pengadaan BMHP e-Catalog,ON PROCESS,16269270,0
BADAN PENGUSAHAAN KAWASAN PERDAGANGAN BEBAS DAN PELABUHAN BEBAS BATAM,BADAN PENGUSAHAAN KAWASAN PERDAGANGAN BEBAS DAN PELABUHAN BEBAS BATAM - 568717,01KFWGSC8ZYBNCB91BWXFZ6P30,63531100,2026,E-Katalog 6.0,APBN,FRESENIUS MEDICAL CARE INDONESIA,E-Purchasing,Barang,Pengadaan BMHP e-Catalog,ON PROCESS,117975000,0
BADAN PENGUSAHAAN KAWASAN PERDAGANGAN BEBAS DAN PELABUHAN BEBAS BATAM,BADAN PENGUSAHAAN KAWASAN PERDAGANGAN BEBAS DAN PELABUHAN BEBAS BATAM - 568717,01KKDV0SJS0E09GQPJ3BPKGKQY,63530809,2026,E-Katalog 6.0,APBN,AMAROX PHARMA GLOBAL,E-Purchasing,Barang,Pengadaan Obat e-Catalog,ON PROCESS,22399978,0
BADAN PENGUSAHAAN KAWASAN PERDAGANGAN BEBAS DAN PELABUHAN BEBAS BATAM,BADAN PENGUSAHAAN KAWASAN PERDAGANGAN BEBAS DAN PELABUHAN BEBAS BATAM - 568717,01KKDWM236MRT1P83KE3YX9GKA,63530809,2026,E-Katalog 6.0,APBN,FERRON PAR PHARMACEUTICALS,E-Purchasing,Barang,Pengadaan Obat e-Catalog,ON PROCESS,33593984,0
BADAN PENGUSAHAAN KAWASAN PERDAGANGAN BEBAS DAN PELABUHAN BEBAS BATAM,BADAN PENGUSAHAAN KAWASAN PERDAGANGAN BEBAS DAN PELABUHAN BEBAS BATAM - 568717,01KQYFKD05Z7FXHJCG86X4QHEE,63800378,2026,E-Katalog 6.0,APBN,VISI INTI POWERINDO,E-Purchasing,Barang,Pengadaan Sarana Penunjang Layanan Data Centre,ON PROCESS,123850000,123850000
BADAN PENGUSAHAAN KAWASAN PERDAGANGAN BEBAS DAN PELABUHAN BEBAS BATAM,BADAN PENGUSAHAAN KAWASAN PERDAGANGAN BEBAS DAN PELABUHAN BEBAS BATAM - 568717,01KJ6YWJ77QWJSZH33ADR3QV11,63875327,2026,E-Katalog 6.0,APBN,BUANA CITRA BERSATU,E-Purchasing,Barang,Pengadaan ATK BP Batam,PAYMENT OUTSIDE SYSTEM,111846000,111846000
BADAN PENGUSAHAAN KAWASAN PERDAGANGAN BEBAS DAN PELABUHAN BEBAS BATAM,BADAN PENGUSAHAAN KAWASAN PERDAGANGAN BEBAS DAN PELABUHAN BEBAS BATAM - 568717,01KFYMHZB9EKJYB6MPZYDKZG0X,63530809,2026,E-Katalog 6.0,APBN,ETANA BIOTECHNOLOGIES INDONESIA,E-Purchasing,Barang,Pengadaan Obat e-Catalog,ON PROCESS,13991400,13991400
BADAN PENGUSAHAAN KAWASAN PERDAGANGAN BEBAS DAN PELABUHAN BEBAS BATAM,BADAN PENGUSAHAAN KAWASAN PERDAGANGAN BEBAS DAN PELABUHAN BEBAS BATAM - 568717,01KTTN69VN74VF2YPTZZEC2C2J,63531100,2026,E-Katalog 6.0,APBN,TERUMO INDONESIA,E-Purchasing,Barang,Pengadaan BMHP e-Catalog,ON PROCESS,2629812,0
BADAN PENGUSAHAAN KAWASAN PERDAGANGAN BEBAS DAN PELABUHAN BEBAS BATAM,BADAN PENGUSAHAAN KAWASAN PERDAGANGAN BEBAS DAN PELABUHAN BEBAS BATAM - 568717,01KFAK1V5YHXYDD3Q11S1F46VT,63612315,2026,E-Katalog 6.0,APBN,MALIQA MEGAH SEJAHTRA,E-Purchasing,Jasa Lainnya,Maintenance Building Rusun Sekupang,ON PROCESS,327330016,327330016
BADAN PENGUSAHAAN KAWASAN PERDAGANGAN BEBAS DAN PELABUHAN BEBAS BATAM,BADAN PENGUSAHAAN KAWASAN PERDAGANGAN BEBAS DAN PELABUHAN BEBAS BATAM - 568717,01KV52QHM7QNQDRAZSQNSSXADM,66904113,2026,E-Katalog 6.0,APBN,AUTO SERIBU PERKASA,E-Purchasing,Jasa Lainnya,Sewa Kendaraan Operasional Roda 4/Minibus Operasional Kantor dan/atau Lapangan,ON PROCESS,219000000,219000000
BADAN PENGUSAHAAN KAWASAN PERDAGANGAN BEBAS DAN PELABUHAN BEBAS BATAM,BADAN PENGUSAHAAN KAWASAN PERDAGANGAN BEBAS DAN PELABUHAN BEBAS BATAM - 568717,10828255000,63962188,2026,Non Tender,APBN,CV. Kudap Jaya,Pengadaan Langsung,Jasa Lainnya,"Pemeliharaan Gedung Terminal Penumpang Domestik Telaga Punggur (Perbaikan Bracket Tiang Ponton, Perbaikan Pintu Ruang X-Ray Lantai 1, Pekerjaan Dinding Penutup Area Pintu Keluar Menuju Jetty dan Pekerjaan Lainya)",SELESAI,189581700,189581700
